case_id,crime_no,case_no,district,police_station,latitude,longitude,crime_type,crime_head,act_section,is_heinous,date_registered,hour,time_of_day,status,weapon,victim_name,victim_age,victim_gender,accused_name,accused_age,accused_gender,accused_id,investigating_officer,court,brief_facts
C74,144300011202600074,202600074,Bengaluru Urban,Whitefield PS,12.91913,77.550392,Assault,Crimes Against Body,BNS 118,False,2026-05-20,5,Night,Charge Sheeted,Blunt Object,Gowramma Kulkarni,21,F,Fathima Reddy,31,F,A/1776,Sub-Inspector M. Iqbal,Bengaluru Urban District & Sessions Court,Assault reported at Whitefield PS. Complaint registered and investigation forwarded to court.
C75,144710003202600075,202600075,Mysuru,Devaraja PS,12.284725,76.56921,Murder,Crimes Against Body,BNS 103,True,2026-04-06,3,Night,Under Investigation,Knife,Gowramma Shetty,59,M,Karthik Bhat,53,M,A/1167,Sub-Inspector M. Iqbal,Mysuru District & Sessions Court,Murder reported at Devaraja PS. Complaint registered and investigation ongoing.
C76,144710009202600076,202600076,Mysuru,Vijayanagar PS,12.333629,76.579445,Chain Snatching,Crimes Against Property,BNS 304,False,2026-03-31,9,Morning,Closed,None,Manjunath Poojary,56,M,Kavya Naik,33,M,A/1533,Sub-Inspector R. Nagesh,Mysuru District & Sessions Court,Chain Snatching reported at Vijayanagar PS. Complaint registered and investigation concluded.
C77,144020008202600077,202600077,Ballari,Ballari City PS,15.202916,76.941739,Burglary,Crimes Against Property,BNS 331,False,2026-05-21,0,Night,Under Investigation,None,Fathima Naik,34,M,Basavaraj Shetty,50,M,A/1401,Inspector S. Chandrakala,Ballari District & Sessions Court,Burglary reported at Ballari City PS. Complaint registered and investigation ongoing.
C78,144300011202600078,202600078,Bengaluru Urban,Whitefield PS,12.970115,77.564483,Theft,Crimes Against Property,BNS 303,False,2026-07-06,21,Night,Under Investigation,None,Vinay Patil,31,M,Deepa Desai,26,M,A/1896,Inspector B. Veeresh,Bengaluru Urban District & Sessions Court,Theft reported at Whitefield PS. Complaint registered and investigation ongoing.
C79,144190005202600079,202600079,Kalaburagi,Kalaburagi Town PS,17.346674,76.744324,Theft,Crimes Against Property,BNS 303,False,2026-03-26,15,Afternoon,Under Investigation,None,Gowramma Hegde,45,F,Yallappa Shetty,20,F,A/1633,Sub-Inspector M. Iqbal,Kalaburagi District & Sessions Court,Theft reported at Kalaburagi Town PS. Complaint registered and investigation ongoing.
C80,144300006202600080,202600080,Bengaluru Urban,Cubbon Park PS,12.965177,77.522934,Missing Person,Missing / UD,BNSS 174,False,2026-03-20,3,Night,Under Investigation,Not Applicable,Lakshmi Poojary,53,M,Basavaraj Poojary,31,F,A/1857,Sub-Inspector R. Nagesh,Bengaluru Urban District & Sessions Court,Missing Person reported at Cubbon Park PS. Complaint registered and investigation ongoing.
C81,144020008202600081,202600081,Ballari,Ballari City PS,15.132263,76.879304,Rioting,Crimes Against Public Order,BNS 191,True,2026-01-17,12,Afternoon,Charge Sheeted,None,Ramesh Reddy,35,F,Nagaraj Desai,34,M,A/1018,Sub-Inspector M. Iqbal,Ballari District & Sessions Court,Rioting reported at Ballari City PS. Complaint registered and investigation forwarded to court.
C82,144300011202600082,202600082,Bengaluru Urban,Whitefield PS,12.965973,77.515093,Rioting,Crimes Against Public Order,BNS 191,True,2026-05-24,4,Night,Under Investigation,None,Ramesh Desai,21,M,Praveen Patil,50,M,A/1167,Inspector S. Chandrakala,Bengaluru Urban District & Sessions Court,Rioting reported at Whitefield PS. Complaint registered and investigation ongoing.
C83,144790013202600083,202600083,Shivamogga,Shivamogga Town PS,14.001241,75.550186,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-05-26,5,Night,Charge Sheeted,Not Applicable,Vinay Gowda,53,F,Fathima Poojary,38,M,A/1709,Inspector B. Veeresh,Shivamogga District & Sessions Court,Vehicle Theft reported at Shivamogga Town PS. Complaint registered and investigation forwarded to court.
C84,144300006202600084,202600084,Bengaluru Urban,Cubbon Park PS,13.030292,77.527931,Missing Person,Missing / UD,BNSS 174,False,2026-02-10,2,Night,Closed,Not Applicable,Chandrashekar Naik,33,M,Lakshmi Gowda,49,F,A/1084,Sub-Inspector T. Ashwini,Bengaluru Urban District & Sessions Court,Missing Person reported at Cubbon Park PS. Complaint registered and investigation concluded.
C85,144020008202600085,202600085,Ballari,Ballari City PS,15.052181,76.921366,Burglary,Crimes Against Property,BNS 331,False,2026-03-04,5,Night,Closed,Blunt Object,Anitha Desai,70,M,Josephine Hegde,52,F,A/1561,Inspector B. Veeresh,Ballari District & Sessions Court,Burglary reported at Ballari City PS. Complaint registered and investigation concluded.
C86,144710003202600086,202600086,Mysuru,Devaraja PS,12.259533,76.561526,Chain Snatching,Crimes Against Property,BNS 304,False,2026-01-08,7,Morning,Closed,None,Fathima Rao,56,M,Sowmya Gowda,52,M,A/1804,Inspector B. Veeresh,Mysuru District & Sessions Court,Chain Snatching reported at Devaraja PS. Complaint registered and investigation concluded.
C87,144020008202600087,202600087,Ballari,Ballari City PS,15.126344,76.946638,Burglary,Crimes Against Property,BNS 331,False,2026-07-21,7,Morning,Closed,Blunt Object,Fathima Bhat,42,M,Basavaraj Poojary,33,F,A/1570,Sub-Inspector M. Iqbal,Ballari District & Sessions Court,Burglary reported at Ballari City PS. Complaint registered and investigation concluded.
C88,144710009202600088,202600088,Mysuru,Vijayanagar PS,12.246559,76.648554,Burglary,Crimes Against Property,BNS 331,False,2026-06-05,8,Morning,Closed,Blunt Object,Meena Bhat,35,M,Suresh Patil,42,F,A/1156,Sub-Inspector R. Nagesh,Mysuru District & Sessions Court,Burglary reported at Vijayanagar PS. Complaint registered and investigation concluded.
C89,144020008202600089,202600089,Ballari,Ballari City PS,15.088185,77.009894,Vehicle Theft,Crimes Against Property,BNS 303,False,2026-02-01,12,Afternoon,Closed,Not Applicable,Shivakumar Rao,52,F,Imran Naik,23,M,A/1817,Sub-Inspector T. Ashwini,Ballari District & Sessions Court,Vehicle Theft reported at Ballari City PS. Complaint registered and investigation concluded.
C90,144030004202600090,202600090,Belagavi,Belagavi Camp PS,15.893139,74.485664,Cyber Fraud,Cyber Crime,IT Act 66D,False,2026-03-23,18,Evening,Under Investigation,Not Applicable,Basavaraj Poojary,44,F,Gowramma Patil,46,M,A/1558,Sub-Inspector M. Iqbal,Belagavi District & Sessions Court,Cyber Fraud reported at Belagavi Camp PS. Complaint registered and investigation ongoing.
